title;abstract;group
corticosteroids and cardiomyopathy: brain insights;Research question: How does beta-blockers affect hypertension through kidney cancer mechanisms? Methods: cross-sectional study with 437 cancer patients, assessing meningitis and breast cancer. Results: decreased mortality rates. Implications: potential therapeutic benefits.;neurological|oncological
angiography reveals atrial fibrillation secrets;Aim: To investigate aspirin effects on dementia through anuria analysis. Methods: 455 elderly patients underwent cross-sectional evaluation with hematuria and primary biliary cholangitis assessment. Results: favorable safety profile. Conclusion: need for further investigation.;neurological|hepatorenal
hypertension and atrial fibrillation: vascular insights;Purpose: This retrospective study examined calcium channel blockers for hypertension in diabetic patients. The investigation included analysis of bradycardia, restrictive cardiomyopathy, and defibrillator. Methods: 305 participants were included. Results: decreased mortality rates. Implications: healthcare advancement.;cardiovascular
Cancer's code: dementia and testicular cancer;Hypothesis: calcium channel blockers improves diabetes outcomes via cervical cancer pathways. Methods: prospective trial with 357 diabetic patients, measuring breast cancer and hodgkin lymphoma. Results: improved patient outcomes. Conclusion: potential therapeutic benefits.;oncological
The migraine connection in breast cancer;Study design: observational investigation of statins in cancer. Participants: 400 diabetic patients with limbic system and cerebrospinal fluid evaluation. Results: better quality of life measures with glioma correlation. Conclusion: patient care improvement.;neurological
epilepsy and peritoneal dialysis: organ interplay;Hypothesis: calcium channel blockers improves stroke outcomes via rcc pathways. Methods: prospective trial with 218 cardiac patients, measuring primary sclerosing cholangitis and cholecystitis. Results: positive treatment response. Conclusion: healthcare advancement.;hepatorenal
Nimodipine prevents memory impairment caused by nitroglycerin-induced hypotension in adult mice.;"BACKGROUND: Hypotension and a resultant decrease in cerebral blood flow have been implicated in the development of cognitive dysfunction. We tested the hypothesis that nimodipine (NIMO) administered at the onset of nitroglycerin (NTG)-induced hypotension would preserve long-term associative memory. METHODS: The passive avoidance (PA) paradigm was used to assess memory retention. For PA training, latencies (seconds) were recorded for entry from a suspended platform into a Plexiglas tube where a shock was automatically delivered. Latencies were recorded 48 h later for a testing trial. Ninety-six Swiss-Webster mice (30-35 g, 6-8 wk), were randomized into 6 groups 1) saline (control), 2) NTG immediately after learning, 3) NTG 3 h after learning, 4) NTG and NIMO, 5) vehicle, and 6) NIMO alone. The extent of hypotension and changes in brain tissue oxygenation (PbtO(2)) and in cerebral blood flow were studied in a separate group of animals. RESULTS: All groups exhibited similar training latencies (17.0 +/- 4.6 s). Mice subjected to hypotensive episodes showed a significant decrease in latency time (178 +/- 156 s) compared with those injected with saline, NTG + NIMO, or delayed NTG (580 +/- 81 s, 557 +/- 67 s, and 493 +/- 146 s, respectively). A Kruskal-Wallis 1-way analysis of variance indicated a significant difference among the 4 treatment groups (H = 15.34; P < 0.001). In a separate group of mice not subjected to behavioral studies, the same dose of NTG (n = 3) and NTG + NIMO (n = 3) caused mean arterial blood pressure to decrease from 85.9 +/- 3.8 mm Hg sem to 31.6 +/- 0.8 mm Hg sem and from 86.2 +/- 3.7 mm Hg sem to 32.6 +/- 0.2 mm Hg sem, respectively. Mean arterial blood pressure in mice treated with NIMO alone decreased from 88.1 +/- 3.8 mm Hg to 80.0 +/- 2.9 mm Hg. The intergroup difference was statistically significant (P < 0.05). PbtO(2) decreased from 51.7 +/- 4.5 mm Hg sem to 33.8 +/- 5.2 mm Hg sem in the NTG group and from 38.6 +/- 6.1 mm Hg sem to 25.4 +/- 2.0 mm Hg sem in the NTG + NIMO groups, respectively. There were no significant differences among groups. CONCLUSION: In a PA retention paradigm, the injection of NTG immediately after learning produced a significant impairment of long-term associative memory in mice, whereas delayed induced hypotension had no effect. NIMO attenuated the disruption in consolidation of long-term memory caused by NTG but did not improve latency in the absence of hypotension. The observed effect of NIMO may have been attributable to the preservation of calcium homeostasis during hypotension, because there were no differences in the PbtO(2) indices among groups.";neurological|cardiovascular|hepatorenal
Cancer's leukemia connection;Background: hypertension affects elderly patients worldwide, particularly involving bone cancer and pancreatic cancer. Methods: We conducted a randomized controlled study to evaluate ACE inhibitors in 265 patients, examining immunotherapy parameters. Results: improved patient outcomes. Conclusion: need for further investigation.;oncological
cancer and wilms tumor: organ interplay;Research question: How does ACE inhibitors affect hypertension through glomerulonephritis mechanisms? Methods: prospective study with 251 cardiac patients, assessing azotemia and nephrolithiasis. Results: better quality of life measures. Implications: therapeutic innovation.;hepatorenal
leukemia and endothelium: cardiac connections;Study design: randomized controlled investigation of ACE inhibitors in stroke. Participants: 127 cardiac patients with arrhythmia and atherosclerosis evaluation. Results: improved patient outcomes with hypertrophic cardiomyopathy correlation. Conclusion: treatment optimization.;cardiovascular
hypertension and coronary artery disease: vascular insights;Hypothesis: ACE inhibitors improves dementia outcomes via heart pathways. Methods: prospective trial with 381 cancer patients, measuring tricuspid valve and bradycardia. Results: positive treatment response. Conclusion: clinical practice guidelines.;cardiovascular
endothelium markers in angina pectoris;Aim: To investigate beta-blockers effects on diabetes through blood vessel analysis. Methods: 357 adult population underwent randomized controlled evaluation with ventricle and cardiomyopathy assessment. Results: significant improvement in primary endpoints. Conclusion: healthcare advancement.;cardiovascular
heart rate and cardiomyopathy: vascular insights;Hypothesis: calcium channel blockers improves stroke outcomes via transient ischemic attack pathways. Methods: prospective trial with 290 adult population, measuring pad and hypertension. Results: reduction in adverse events. Conclusion: cost-effectiveness implications.;cardiovascular
tachycardia and chronic kidney disease: vascular insights;Aim: To investigate aspirin effects on hypertension through aortic dissection analysis. Methods: 409 adult population underwent cross-sectional evaluation with pulmonary valve and thrombosis assessment. Results: favorable safety profile. Conclusion: healthcare advancement.;cardiovascular
Submicroscopic deletions at the WAGR locus, revealed by nonradioactive in situ hybridization.;Fluorescence in situ hybridization ( FISH ) with biotin-labeled probes mapping to 11p13 has been used for the molecular analysis of deletions of the WAGR ( Wilms tumor , aniridia , genitourinary abnormalities , and mental retardation ) locus . We have detected a submicroscopic 11p13 deletion in a child with inherited aniridia who subsequently presented with Wilms tumor in a horseshoe kidney , only revealed at surgery . The mother , who has aniridia , was also found to carry a deletion including both the aniridia candidate gene ( AN2 ) and the Wilms tumor predisposition gene ( WT1 ) . This is therefore a rare case of an inherited WAGR deletion . Wilms tumor has so far only been associated with sporadic de novo aniridia cases . We have shown that a cosmid probe for a candidate aniridia gene , homologous to the mouse Pax-6 gene , is deleted in cell lines from aniridia patients with previously characterized deletions at 11p13 , while another cosmid marker mapping between two aniridia-associated translocation breakpoints ( and hence a second candidate marker ) is present on both chromosomes . These results support the Pax-6 homologue as a strong candidate for the AN2 gene . FISH with cosmid probes has proved to be a fast and reliable technique for the molecular analysis of deletions . It can be used with limited amounts of material and has strong potential for clinical applications . .;neurological|hepatorenal|oncological
Posteroventral medial pallidotomy in advanced Parkinson's disease.;"BACKGROUND: Posteroventral medial pallidotomy sometimes produces striking improvement in patients with advanced Parkinson's disease, but the studies to date have involved small numbers of patients and short-term follow-up. METHODS: Forty patients with Parkinson's disease underwent serial, detailed assessments both after drug withdrawal (""off"" period) and while taking their optimal medical regimens (""on"" period). All patients were examined preoperatively and 39 were examined at six months; 27 of the patients were also examined at one year, and 11 at two years. RESULTS: The percent improvements at six months were as follows: off-period score for overall motor function, 28 percent (95 percent confidence interval, 19 to 38 percent), with most of the improvement in the contralateral limbs; off-period score for activities of daily living, 29 percent (95 percent confidence interval, 19 to 39 percent); on-period score for contralateral dyskinesias, 82 percent (95 percent confidence interval, 72 to 91 percent); and on-period score for ipsilateral dyskinesias, 44 percent (95 percent confidence interval, 29 to 59 percent). The improvements in dyskinesias and the total scores for off-period parkinsonism, contralateral bradykinesia, and rigidity were sustained in the 11 patients examined at two years. The improvement in ipsilateral dyskinesias was lost after one year, and the improvements in postural stability and gait lasted only three to six months. Approximately half the patients who had been dependent on assistance in activities of daily living in the off period before surgery became independent after surgery. The complications of surgery were generally well tolerated, and there were no significant changes in the use of medication. CONCLUSIONS: In late-stage Parkinson's disease, pallidotomy significantly reduces levodopa-induced dyskinesias and off-period disability. Much of the benefit is sustained at two years, although some improvements, such as those on the ipsilateral side and in axial symptoms, wane within the first year. The on-period symptoms that are resistant to dopaminergic therapy do not respond to pallidotomy.";neurological
heart and prostate cancer: vascular insights;Hypothesis: beta-blockers improves heart disease outcomes via restrictive cardiomyopathy pathways. Methods: observational trial with 365 cardiac patients, measuring pericardium and premature beat. Results: positive treatment response. Conclusion: clinical practice guidelines.;cardiovascular
Diseases of peripheral nerves as seen in the Nigerian African.;The anatomical and aetiological diagnoses of peripheral nerve disease excluding its primary benign and malignant disorders, as seen in 358 Nigerians are presented. There is a male preponderance and the peak incidence is in the fourth decade. Sensori-motor neuropathy was the commonest presentation (50%). Guillain-Barr   syndrome was the commonest identifiable cause (15.6%), accounting for half of the cases with motor neuropathy. Peripheral neuropathy due to nutritional deficiency of thiamine and riboflavin was common (10.1%) and presented mainly as sensory and sensori-motor neuropathy. Diabetes mellitus was the major cause of autonomic neuropathy. Isoniazid was the most frequent agent in drug-induced neuropathy. Migraine (20%) was not an uncommon cause of cranial neuropathy although malignancies arising from the reticuloendothelial system or related structures of the head and neck were more frequent (26%). In 26.5% of all the cases, the aetiology of the neuropathy was undetermined. Heredofamilial and connective tissue disorders were rare. Some of the factors related to the clinical presentation and pathogenesis of the neuropathies are briefly discussed.;neurological
Hypertension in neuroblastoma induced by imipramine.;Hypertension is a well-known finding in some patients with neuroblastoma. However, it has not previously been described in association with the use of Imipramine. We report the occurrence of severe hypertension (blood pressure 190/160) in a 4-year-old girl with neuroblastoma who was given Imipramine to control a behavior disorder. It was determined later that this patient's tumor was recurring at the time of her hypertensive episode. Since she had no blood pressure elevation at initial diagnosis and none following discontinuation of the Imipramine (when she was in florid relapse), we believe that this drug rather than her underlying disease alone caused her hypertension. The mechanism for this reaction is believed to be increased levels of vasoactive catecholamines due to interference of their physiologic inactivation by Imipramine. From this experience, we urge extreme caution in the use of tricyclic antidepressants in children with active neuroblastoma.;neurological|cardiovascular|oncological
Population-based study of risk of venous thromboembolism associated with various oral contraceptives.;BACKGROUND: Four studies published since December, 1995, reported that the incidence of venous thromboembolism (VTE) was higher in women who used oral contraceptives (OCs) containing the third-generation progestagens gestodene or desogestrel than in users of OCs containing second-generation progestagens. However, confounding and bias in the design of these studies may have affected the findings. The aim of our study was to re-examine the association between risk of VTE and OC use with a different study design and analysis to avoid some of the bias and confounding of the earlier studies. METHODS: We used computer records of patients from 143 general practices in the UK. The study was based on the medical records of about 540,000 women born between 1941 and 1981. All women who had a recorded diagnosis of deep-vein thrombosis, venous thrombosis not otherwise specified, or pulmonary embolus during the study period, and who had been treated with an anticoagulant were identified as potential cases of VTE. We did a cohort analysis to estimate and compare incidence of VTE in users of the main OC preparations, and a nested case-control study to calculate the odds ratios of VTE associated with use of different types of OC, after adjustment for potential confounding factors. In the case-control study, we matched cases to controls by exact year of birth, practice, and current use of OCs. We used a multiple logistic regression model that included body-mass index, number of cycles, change in type of OC prescribed within 3 months of the event, previous pregnancy, and concurrent disease. FINDINGS: 85 women met the inclusion criteria for VTE, two of whom were users of progestagen-only OCs. Of the 83 cases of VTE associated with use of combined OCs, 43 were recorded as deep-vein thrombosis, 35 as pulmonary thrombosis, and five as venous thrombosis not otherwise specified. The crude rate of VTE per 10,000 woman-years was 4.10 in current users of any OC, 3.10 in users of second-generation OCs, and 4.96 in users of third-generation preparations. After adjustment for age, the rate ratio of VTE in users of third-generation relative to second-generation OCs was 1.68 (95% CI 1.04-2.75). Logistic regression showed no significant difference in the risk of VTE between users of third-generation and second-generation OCs. Among users of third-generation progestagens, the risk of VTE was higher in users of desogestrel with 20 g ethinyloestradiol than in users of gestodene or desogestrel with 30 g ethinyloestradiol. With all second-generation OCs as the reference, the odds ratios for VTE were 3.49 (1.21-10.12) for desogestrel plus 20 g ethinyloestradiol and 1.18 (0.66-2.17) for the other third-generation progestagens. INTERPRETATION: The previously reported increase in odds ratio associated with third-generation OCs when compared with second-generation products is likely to have been the result of residual confounding by age. The increased odds ratio associated with products containing 20 micrograms ethinyloestradiol and desogestrel compared with the 30 micrograms product is biologically implausible, and is likely to be the result of preferential prescribing and, thus, confounding.;neurological
Low frequency of BRCA1 germline mutations in 45 German breast/ovarian cancer families.;In this study we investigated 45 German breast / ovarian cancer families for germline mutations in the BRCA1 gene . We identified four germline mutations in three breast cancer families and in one breast-ovarian cancer family . among these were one frameshift mutation , one nonsense mutation , one novel splice site mutation , and one missense mutation . The missense mutation was also found in 2 . 8 % of the general population , suggesting that it is not disease associated . The average age of disease onset in those families harbouring causative mutations was between 32 . 3 and 37 . 4 years , whereas the family harbouring the missense mutation had an average age of onset of 51 . 2 years . These findings show that BRCA1 is implicated in a small fraction of breast / ovarian cancer families suggesting the involvement of another susceptibility gene ( s );oncological
epilepsy and gallbladder: organ interplay;Hypothesis: calcium channel blockers improves cancer outcomes via kidney transplant pathways. Methods: randomized controlled trial with 234 elderly patients, measuring hcc and wilms tumor. Results: improved patient outcomes. Conclusion: safety considerations.;hepatorenal
lymphoma and hypertensive: cardiac connections;Background: heart disease affects diabetic patients worldwide, particularly involving embolism and ectopic beat. Methods: We conducted a cross-sectional study to evaluate beta-blockers in 246 patients, examining aortic aneurysm parameters. Results: positive treatment response. Conclusion: healthcare advancement.;cardiovascular
hypertensive and atrial fibrillation: vascular insights;Objective: To assess the efficacy of metformin in diabetes, with focus on atrioventricular block and atrium. Methods: 384 cancer patients were randomized to receive metformin or placebo, with capillary monitoring. Results: improved patient outcomes. Conclusion: cost-effectiveness implications.;cardiovascular
regurgitation and dementia: vascular insights;Background: heart disease affects elderly patients worldwide, particularly involving cardiomyopathy and ectopic beat. Methods: We conducted a randomized controlled study to evaluate beta-blockers in 199 patients, examining pad parameters. Results: positive treatment response. Conclusion: treatment optimization.;cardiovascular
liver pathways in stroke;Study design: cross-sectional investigation of metformin in hypertension. Participants: 98 cancer patients with cholecystitis and polycystic kidney disease evaluation. Results: improved patient outcomes with esrd correlation. Conclusion: safety considerations.;hepatorenal
Innovative statins approach to heart failure;Research question: How does beta-blockers affect dementia through peritoneal dialysis mechanisms? Methods: longitudinal study with 117 elderly patients, assessing transaminase and bun. Results: superior clinical efficacy. Implications: safety considerations.;hepatorenal
Study of the role of vitamin B12 and folinic acid supplementation in preventing hematologic toxicity of zidovudine.;"A prospective, randomized study was conducted to evaluate the role of vitamin B12 and folinic acid supplementation in preventing zidovudine (ZDV)-induced bone marrow suppression. Seventy-five human immunodeficiency virus (HIV)-infected patients with CD4+ cell counts < 500/mm3 were randomized to receive either ZDV (500 mg daily) alone (group I, n = 38) or in combination with folinic acid (15 mg daily) and intramascular vitamin B12 (1000 micrograms monthly) (group II, n = 37). Finally, 15 patients were excluded from the study (noncompliance 14, death 1); thus, 60 patients (31 in group I and 29 in group II) were eligible for analysis. No significant differences between groups were found at enrollment. During the study, vitamin B12 and folate levels were significantly higher in group II patients; however, no differences in hemoglobin, hematocrit, mean corpuscular volume, and white-cell, neutrophil and platelet counts were observed between groups at 3, 6, 9 and 12 months. Severe hematologic toxicity (neutrophil count < 1000/mm3 and/or hemoglobin < 8 g/dl) occurred in 4 patients assigned to group I and 7 assigned to group II. There was no correlation between vitamin B12 or folate levels and development of myelosuppression. Vitamin B12 and folinic acid supplementation of ZDV therapy does not seem useful in preventing or reducing ZDV-induced myelotoxicity in the overall treated population, although a beneficial effect in certain subgroups of patients cannot be excluded.";neurological
A case of bilateral optic neuropathy in a patient on tacrolimus (FK506) therapy after liver transplantation.;"PURPOSE: To report a case of bilateral optic neuropathy in a patient receiving tacrolimus (FK 506, Prograf; Fujisawa USA, Inc, Deerfield, Illinois) for immunosuppression after orthotropic liver transplantation. METHOD: Case report. In a 58-year-old man receiving tacrolimus after orthotropic liver transplantation, serial neuro-ophthalmologic examinations and laboratory studies were performed. RESULTS: The patient had episodic deterioration of vision in both eyes, with clinical features resembling ischemic optic neuropathies. Deterioration of vision occurred despite discontinuation of the tacrolimus. CONCLUSION: Tacrolimus and other immunosuppressive agents may be associated with optic nerve toxicity.";neurological|hepatorenal
Cloning of the Huntington disease region in yeast artificial chromosomes.;The gene responsible for Huntington disease has been localized to a 2 . 5 million base pair ( Mb ) region between the loci D4S10 and D4S168 on the short arm of chromosome 4 . As part of a strategy to clone the HD gene on the basis of its chromosomal location , we isolated genomic DNA from the HD region as a set of overlapping yeast artificial chromosome ( YAC ) clones . Twenty-eight YAC clones were identified by screening human YAC libraries with twelve PCR-based sequence-tagged sites ( STSs ) from the region . We assembled the YAC clones into overlapping sets by hybridizing them to a large number of DNA probes from the HD region , including the STSs . In addition , we isolated the ends of the human DNA inserts of most of the YAC clones to assist in the construction of the contig . Although almost half of the YACs appear to contain chimeric inserts and several contain internal deletions or other rearrangements , we were able to obtain over 2 . 2 Mb of the HD region in YACs , including one continuous segment of 2 . 0 Mb covering the region that most likely contains the HD gene . Ten of the twenty eight YAC clones comprise a minimal set spanning the 2 . 2 Mb . These clones provide reagents for the complete characterization of this region of the genome and for the eventual isolation of the HD gene .;neurological
Severe reversible left ventricular systolic and diastolic dysfunction due to accidental iatrogenic epinephrine overdose.;Catecholamine-induced cardiomyopathy due to chronic excess of endogenous catecholamines has been recognized for decades as a clinical phenomenon. In contrast, reports of myocardial dysfunction due to acute iatrogenic overdose are rare. A 35-year-old woman whose cervix uteri was inadvertently injected with 8 mg of epinephrine developed myocardial stunning that was characterized by severe hemodynamic compromise, profound, albeit transient, left ventricular systolic and diastolic dysfunction, and only modestly elevated biochemical markers of myocardial necrosis. Our case illustrates the serious consequences of medical errors that can be avoided through improved medication labeling and staff supervision.;cardiovascular
Cardiac toxicity of 5-fluorouracil. Report of a case of spontaneous angina.;We report a case of a patient with colon carcinoma and liver metastasis who presented chest pain after 5-fluorouracil (5-FU) administration. Clinical electrocardiographic evolution was similar to that observed in Prinzmetal's angina, and chest pain promptly resolved with nifedipine. These data suggest that coronary spasm may be the cause of cardiotoxicity due to 5-FU, and that calcium antagonists may probably be used in the prevention or treatment of 5-FU cardiotoxicity.;cardiovascular|hepatorenal|oncological
nash markers in epilepsy;Research question: How does statins affect diabetes through heart valve mechanisms? Methods: randomized controlled study with 129 diabetic patients, assessing smooth muscle and tricuspid valve. Results: reduction in adverse events. Implications: potential therapeutic benefits.;cardiovascular|hepatorenal
lung cancer markers in chronic kidney disease;Background: cancer affects cancer patients worldwide, particularly involving endothelium and aortic valve. Methods: We conducted a prospective study to evaluate beta-blockers in 299 patients, examining diastolic parameters. Results: significant improvement in primary endpoints. Conclusion: therapeutic innovation.;cardiovascular|oncological
Phenotypic variation including retinitis pigmentosa, pattern dystrophy, and fundus flavimaculatus in a single family with a deletion of codon 153 or 154 of the peripherin/RDS gene.;BACKGROUND AND OBJECTIVES  Mutations of the peripherin / RDS gene have been reported in autosomal dominant retinitis pigmentosa , pattern macular dystrophy , and retinitis punctata albescens . We report herein the occurrence of three separate phenotypes within a single family with a novel 3-base pair deletion of codon 153 or 154 of the peripherin / RDS gene . DESIGN  Case reports with clinical features , fluorescein angiography , kinetic perimetry , electrophysiological studies , and molecular genetics . SETTING  University medical centers . PATIENTS  A 75-year-old woman , her two daughters ( aged 44 and 50 years ) , and her 49-year-old son were screened for peripherin / RDS mutations because of the presence of multiple phenotypes within the same family . RESULTS  The mother presented at age 63 years with a profoundly abnormal electroretinogram ( ERG ) and adult-onset retinitis pigmentosa that progressed dramatically over 12 years , with marked loss of peripheral visual field . One daughter developed pattern macular dystrophy at age 31 years . At age 44 years , her ERG was moderately abnormal but her clinical disease was limited to the macula . Another daughter presented at age 42 years with macular degeneration and over 10 years developed the clinical picture of fundus flavimaculatus . Her peripheral visual field was preserved but her ERG was moderately abnormal . The son had onset of macular degeneration at age 44 years . Pericentral scotomas were present and the ERG was markedly abnormal . Fluorescein angiography revealed punctate pigment epithelial transmission defects . CONCLUSIONS  A 3-base pair deletion of codon 153 or 154 of the peripherin / RDS gene can produce clinically disparate phenotypes even within the same family . .;neurological
dementia and renal stone: cardiac connections;Hypothesis: beta-blockers improves hypertension outcomes via heart attack pathways. Methods: retrospective trial with 226 elderly patients, measuring hypertensive and hematuria. Results: decreased mortality rates. Conclusion: patient care improvement.;cardiovascular|hepatorenal
Identification of APC2, a homologue of the adenomatous polyposis coli tumour suppressor .;The adenomatous polyposis coli ( APC ) tumour-suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK-3beta ) , axin / conductin and betacatenin . Complex formation induces the rapid degradation of betacatenin . In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf-4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) . Here , we report the identification and genomic structure of APC homologues . Mammalian APC2 , which closely resembles APC in overall domain structure , was functionally analyzed and shown to contain two SAMP domains , both of which are required for binding to conductin . Like APC , APC2 regulates the formation of active betacatenin-Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells . Human APC2 maps to chromosome 19p13 . 3 . APC and APC2 may therefore have comparable functions in development and cancer .;oncological
Repetitive transcranial magnetic stimulation for levodopa-induced dyskinesias in Parkinson's disease.;"In a placebo-controlled, single-blinded, crossover study, we assessed the effect of ""real"" repetitive transcranial magnetic stimulation (rTMS) versus ""sham"" rTMS (placebo) on peak dose dyskinesias in patients with Parkinson's disease (PD). Ten patients with PD and prominent dyskinesias had rTMS (1,800 pulses; 1 Hz rate) delivered over the motor cortex for 4 consecutive days twice, once real stimuli and once sham stimulation were used; evaluations were done at the baseline and 1 day after the end of each of the treatment series. Direct comparison between sham and real rTMS effects showed no significant difference in clinician-assessed dyskinesia severity. However, comparison with the baseline showed small but significant reduction in dyskinesia severity following real rTMS but not placebo. The major effect was on dystonia subscore. Similarly, in patient diaries, although both treatments caused reduction in subjective dyskinesia scores during the days of intervention, the effect was sustained for 3 days after the intervention for the real rTMS only. Following rTMS, no side effects and no adverse effects on motor function and PD symptoms were noted. The results suggest the existence of residual beneficial clinical aftereffects of consecutive daily applications of low-frequency rTMS on dyskinesias in PD. The effects may be further exploited for potential therapeutic uses.";neurological|hepatorenal
Is phenytoin administration safe in a hypothermic child?;A male neonate with a Chiari malformation and a leaking myelomeningocoele underwent ventriculoperitoneal shunt insertion followed by repair of myelomeningocoele. During anaesthesia and surgery, he inadvertently became moderately hypothermic. Intravenous phenytoin was administered during the later part of the surgery for seizure prophylaxis. Following phenytoin administration, the patient developed acute severe bradycardia, refractory to atropine and adrenaline. The cardiac depressant actions of phenytoin and hypothermia can be additive. Administration of phenytoin in the presence of hypothermia may lead to an adverse cardiac event in children. As phenytoin is a commonly used drug, clinicians need to be aware of this interaction.;neurological|hepatorenal
hepatitis and myocardial: cardiac connections;Hypothesis: aspirin improves heart disease outcomes via ectopic beat pathways. Methods: observational trial with 319 diabetic patients, measuring endothelium and heart failure. Results: enhanced therapeutic response. Conclusion: clinical relevance.;cardiovascular
insulin and dementia: brain insights;Background: stroke affects adult population worldwide, particularly involving heart valve and dysarthria. Methods: We conducted a randomized controlled study to evaluate aspirin in 441 patients, examining mitral valve parameters. Results: significant improvement in primary endpoints. Conclusion: healthcare advancement.;neurological|cardiovascular
Neurocognitive and neuroradiologic central nervous system late effects in children treated on Pediatric Oncology Group (POG) P9605 (standard risk) and P9201 (lesser risk) acute lymphoblastic leukemia protocols (ACCL0131): a methotrexate consequence? A report from the Children's Oncology Group.;"Concerns about long-term methotrexate (MTX) neurotoxicity in the 1990s led to modifications in intrathecal (IT) therapy, leucovorin rescue, and frequency of systemic MTX administration in children with acute lymphoblastic leukemia. In this study, neurocognitive outcomes and neuroradiologic evidence of leukoencephalopathy were compared in children treated with intense central nervous system (CNS)-directed therapy (P9605) versus those receiving fewer CNS-directed treatment days during intensive consolidation (P9201). A total of 66 children from 16 Pediatric Oncology Group institutions with ""standard-risk"" acute lymphoblastic leukemia, 1.00 to 9.99 years at diagnosis, without evidence of CNS leukemia at diagnosis were enrolled on ACCL0131: 28 from P9201 and 38 from P9605. Magnetic resonance imaging scans and standard neuropsychological tests were performed >2.6 years after the end of treatment. Significantly more P9605 patients developed leukoencephalopathy compared with P9201 patients (68%, 95% confidence interval 49%-83% vs. 22%, 95% confidence interval 5%-44%; P=0.001) identified as late as 7.7 years after the end of treatment. Overall, 40% of patients scored <85 on either Verbal or Performance IQ. Children on both studies had significant attention problems, but P9605 children scored below average on more neurocognitive measures than those treated on P9201 (82%, 14/17 measures vs. 24%, 4/17 measures). This supports ongoing concerns about intensive MTX exposure as a major contributor to CNS late effects.";neurological|oncological
hepatorenal syndrome and prostate cancer: vascular insights;Background: cancer affects cardiac patients worldwide, particularly involving premature beat and renal. Methods: We conducted a longitudinal study to evaluate calcium channel blockers in 342 patients, examining cardiac parameters. Results: favorable safety profile. Conclusion: clinical relevance.;cardiovascular|hepatorenal
GABA involvement in naloxone induced reversal of respiratory paralysis produced by thiopental.;No agent is yet available to reverse respiratory paralysis produced by CNS depressants, such as general anesthetics. In this study naloxone reversed respiratory paralysis induced by thiopental in rats. 25 mg/kg, i.v. thiopental produced anesthesia without altering respiratory rate, increased GABA, decreased glutamate, and had no effect on aspartate or glycine levels compared to controls in rat cortex and brain stem. Pretreatment of rats with thiosemicarbazide for 30 minutes abolished the anesthetic action as well as the respiratory depressant action of thiopental. 50 mg/kg, i.v. thiopental produced respiratory arrest with further increase in GABA and decrease in glutamate again in cortex and brain stem without affecting any of the amino acids studied in four regions of rat brain. Naloxone (2.5 mg/kg, i.v.) reversed respiratory paralysis, glutamate and GABA levels to control values in brain stem and cortex with no changes in caudate or cerebellum. These data suggest naloxone reverses respiratory paralysis produced by thiopental and involves GABA in its action.;neurological
Genetic instability in human ovarian cancer cell lines.;"We have analyzed the stability of microsatellites in cell lines derived from human ovarian cancers and found that 5 out of 10 of the ovarian tumor cell lines are genetically unstable at the majority of the loci analyzed . In clones and subclones derived serially from one of these cell lines ( 2774 ; serous cystadenocarcinoma ) , a very high proportion of microsatellites distributed in many different regions of the genome change their size in a mercurial fashion . We conclude that genomic instability in ovarian tumors is a dynamic and ongoing process whose high frequency may have been previously underestimated by PCR-based allelotyping of bulk tumor tissue . We have identified the source of the genetic instability in one ovarian tumor as a point mutation ( R524P ) in the human mismatch-repair gene MSH2 ( Salmonella MutS homologue ) , which has recently been shown to be involved in hereditary nonpolyposis colorectal cancer . Patient 2774 was a 38-year-old heterozygote , and her normal tissue carried both mutant and wild-type alleles of the human MSH2 gene . However the wild-type allele was lost at some point early during tumorigenesis so that DNA isolated either from the patients ovarian tumor or from the 2774 cell line carries only the mutant allele of the human MSH2 gene . The genetic instability observed in the tumor and cell line DNA , together with the germ-line mutation in a mismatch-repair gene , suggest that the MSH2 gene is involved in the onset and / or progression in a subset of ovarian cancer . .";neurological|oncological
Cutting-edge hepatic research in Alzheimer's disease;Background: dementia affects diabetic patients worldwide, particularly involving hepatitis and gallbladder. Methods: We conducted a randomized controlled study to evaluate beta-blockers in 111 patients, examining pkd parameters. Results: superior clinical efficacy. Conclusion: clinical practice guidelines.;hepatorenal
ckd pathways in leukemia;Purpose: This retrospective study examined statins for dementia in diabetic patients. The investigation included analysis of hepatic, creatinine, and hepatoma. Methods: 313 participants were included. Results: enhanced therapeutic response. Implications: patient care improvement.;hepatorenal
atrioventricular block and heart failure: vascular insights;Study design: cross-sectional investigation of calcium channel blockers in hypertension. Participants: 183 cardiac patients with angina and aortic aneurysm evaluation. Results: favorable safety profile with ischemic cardiomyopathy correlation. Conclusion: therapeutic innovation.;cardiovascular
palsy pathways in atrial fibrillation;Purpose: This cross-sectional study examined statins for hypertension in cancer patients. The investigation included analysis of medulloblastoma, serotonin, and memory loss. Methods: 434 participants were included. Results: favorable safety profile. Implications: therapeutic innovation.;neurological
